epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1026,1.89442,2.58182,1.55013,0.00851,0.74889,0.32286,0.15527,1.52786,2.9871,1.34252,0.00064,0.00064,0.00064
2,117.11,1.64019,1.86473,1.38941,0.01255,0.8,0.25597,0.08802,1.61758,3.0364,1.52172,0.00127426,0.00127426,0.00127426
3,172.848,1.77545,1.78439,1.50379,0.66684,0.44667,0.4679,0.21197,1.75712,2.39807,1.5473,0.00188238,0.00188238,0.00188238
4,228.319,1.72599,1.78172,1.45463,0.38101,0.62,0.46442,0.2282,1.65139,2.08851,1.42974,0.0018812,0.0018812,0.0018812
5,284.055,1.78822,1.65857,1.42588,0.58582,0.66667,0.61002,0.26704,1.79874,2.45452,1.5829,0.0018416,0.0018416,0.0018416
6,340.137,1.64438,1.59822,1.37634,0.44999,0.68362,0.5333,0.25138,1.53777,2.62121,1.39912,0.001802,0.001802,0.001802
7,397.172,1.56653,1.50922,1.35899,0.76352,0.7103,0.77672,0.39954,1.51456,1.78557,1.39997,0.0017624,0.0017624,0.0017624
8,452.124,1.63859,1.43908,1.38072,0.79236,0.81556,0.8528,0.43901,1.48491,1.456,1.36442,0.0017228,0.0017228,0.0017228
9,507.659,1.63465,1.34747,1.35322,0.78143,0.84667,0.84048,0.4413,1.43268,1.67993,1.32573,0.0016832,0.0016832,0.0016832
10,564.105,1.52747,1.3752,1.32087,0.78213,0.84222,0.82127,0.44061,1.41755,1.46519,1.2953,0.0016436,0.0016436,0.0016436
11,620.009,1.56407,1.31197,1.33021,0.86358,0.78222,0.86664,0.45558,1.42067,1.39978,1.31932,0.001604,0.001604,0.001604
12,675.635,1.57544,1.32338,1.34861,0.76245,0.86222,0.84524,0.42939,1.41295,1.33897,1.31897,0.0015644,0.0015644,0.0015644
13,731.752,1.60015,1.36415,1.36158,0.79695,0.84667,0.84279,0.44576,1.40198,1.33439,1.29508,0.0015248,0.0015248,0.0015248
14,787.959,1.54332,1.3155,1.34042,0.7908,0.84,0.87874,0.47896,1.384,1.33137,1.26194,0.0014852,0.0014852,0.0014852
15,844.295,1.51004,1.21825,1.29911,0.87714,0.85333,0.9003,0.49117,1.4091,1.26474,1.27109,0.0014456,0.0014456,0.0014456
16,900.523,1.51183,1.2697,1.3076,0.90054,0.88889,0.91003,0.48802,1.40357,1.23159,1.25952,0.001406,0.001406,0.001406
